ID_general;ID_general_old;fullname;gender;possible_identity;members;members_names;specialcase;borderline;comment_entity;ID_chapter_1;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14
entity_0231;;Wirt;m;;;;;;;;;;;;;;Wirt;;;;;;
entity_0232;;ältliches Beamtenmädchen;f;;;;;;;;;;;;;;;ältliches Beamtenmädchen;;;;;
entity_0233;;Anwalt Doktor Schneider;m;;;;;;;;;;;;;;;Anwalt von Trudchens Mutter;;;;;
entity_0234;;jemand;u;;;;generic;;;;;;;;;;;jemand;;;;;
entity_0235;;Frau, die sich scheiden lassen will;f;;;;generic;;;;;;;;;;;Frau, die sich scheiden lassen will;;;;;
entity_0236;;Poeten;m;;;;;;;;;;;;;;;Poeten;;;;;
entity_0237;;Vater;m;;;;nonfact;;;;;;;;;;;Vater;;;;;
entity_0238;;Baumhagenscher Kutscher;m;;;;;;;;;;;;;;;Baumhagenscher Kutscher;;Kutscher der Frau Baumhagen;;;
entity_0239;;ehrbare deutsche Frauen;f; ;x;x;generic, group;;;;;;;;;;;ehrbare deutsche Frauen;;;;;
entity_0240;;sich erkundigende Menschen;u;;x;x;generic, group;;;;;;;;;;;sich erkundigende Menschen;;;;;
entity_0241;;Frauen;f;;x;x;generic, group;;;;;;;;;;Frauen;Frauen;Frauen;;;;
entity_0242;;Zigeunerin;f;;;;;;;;;;;;;;;Zigeunerin;;;;;
entity_0243;;Dora;f;;;;;;;;;;;;;;;Dora;;;;;
entity_0244;;mittelloser Referendar;m;;;;;;;;;;;;;;;mittelloser Referendar;;;;;
entity_0245;;Großmutter;f;;;;;;;;;;;;;;;Großmutter;;;;;
entity_0246;;Frau;f;;;;;;;;;;;;;;;Frau;;;;;
entity_0247;;Menschen, die das Beamtenmädchen kennen;u;;x;x;generic, group;;;;;;;;;;;Menschen, die das Beamtenmädchen kennen;;;;;
entity_0248;;Verbrecher;m;;;;generic;;;;;;;;;;;Verbrecher;;;;;
entity_0249;;Gärtnerfrau;f;;;;;;;;;;;;;;;Gärtnerfrau;;;;Gärtnerfrau;
entity_0250;;Bote;m;;;;;;;;;;;;;;;Bote;;;;;
entity_0251;;Beamtenfamilie;u;;entity_0232, x;ältliches Beamtenmädchen, x;group;;;;;;;;;;;Beamtenfamilie;;;;;
entity_0252;;Familie;u;;;;;;;;;;;;;;;Familie;;;;;
entity_0253;;Elternteil;mf;;;;;;;;;;;;;;;Elternteil;;;;;
entity_0254;;Madame;f;;;;generic;;;;;;;;;;;Madame;;;;;
entity_0255;;Landauer;m;;;;;;;;;;;;;;;Landauer;;;;;
entity_0256;;Kutscher;m;;;;;;;;;;;;;;;Kutscher;;;;;
entity_0257;;Kinder;u;;x;x;generic, group;;;;;;;;;;;Kinder;;;;;
entity_0258;;Leute;u;;x;x;generic, group;;;;;;;;;;;;;Leute;;;
entity_0259;;Herren;m;;;;;;;;;;;;;;;Herren;;;;;
entity_0260;;Hausmann;m;;;;;;;;;;;;;;;Hausmann;;;;;
entity_0261;;Fremde;u;;;;;;;;;;;;;;;Fremde;;;;;
entity_0262;;Eltern;mf;;;;generic;;;;;;;;;;;Eltern;;;;;
entity_0263;;Ehemann;m;;;;generic;;;;;;;;;;;Ehemann;;;;;
entity_0264;;Französinnen;f;;x;x;group;;;;;;;;;;;Französinnen;;;;;
entity_0265;;Gärtner David;m;;;;;;;;;;;;;;;Franz' Gärtner;;;;Gärtner;
entity_0266;;Frauenzimmer;f;;;;;;;;;;;;;;;Frauenzimmer;;;;;
entity_0267;;Bübchen;m;;;;nonfact;;;;;;;;;;;Bübchen;;;;;
entity_0268;;Schneider;m;;;;;;;;;;;;;;;Schneider;;;;;
entity_0269;;Teufel;m;;;;nonfact;;;;;;;;;;;Teufel;;;;;
entity_0270;;Patenkindchen;u;;;;;;;;;;;;;;;Patenkindchen;;;;;
entity_0271;;Menschen in der Gegend;u;;x;x;group;;;;;;;;;;;Menschen in der Gegend;;;;;
entity_0272;;Rechtsanwalt K.;m;;;;;;;;;;;;;;;Rechtsanwalt;;;;Rechtsanwalt K.;Rechtsanwalt K.
entity_0273;;zukünftige Kinder von Jenny & Artur;u;;x;x;group, nonfact;;;;;;;;;;;zukünftige Kinder von Jenny & Artur;;;;;
entity_0274;;Frau Rode;f;;;;;;;;;;;;;;;;Frau Rode;;;;
entity_0275;;Ottilies Auserwählter;m;;;;;;;;;;;;;;;;Ottilies Auserwählter;;;;
entity_0276;;Mann von Frau Rode;m;;;;;;;;;;;;;;;;Mann von Frau Rode;;;;
entity_0277;;alte Herren in Waldruhe;m;;entity_0015, entity_0008;Papa von Trudchen, Onkel Heinrich;group;;;;;;;;;;;;alte Herren in Waldruhe;;;;
entity_0278;;Weiber;f;;x;x;generic, group;;;;;;;;;;;;Weiber;;Weiber;;
entity_0279;;Stubenmädchen;f;;;;;;;;;;;;;;;;Stubenmädchen;;;;
entity_0280;;Eilbote;m;;;;;;;;;;;;;;;;Eilbote;;;;
entity_0281;;Familie von Onkel Heinrich;u;;;;;;;;;;;;;;;;Familie von Onkel Heinrich;;;;
entity_0282;;Dore;f;;;;;;;;;;;;;;;;Dore;Dore;;;Dore
entity_0283;;Paul;m;;;;nonfact;;;;;;;;;;;;Paul;;;;
entity_0284;;Virginie;f;;;;nonfact;;;;;;;;;;;;Virginie;;;;
entity_0285;;andere Personen des Baumhagschen Anwesens;mf;;entity_0010, entity_0070, entity_0071;Familie Baumhagen, Karoline, Sophie;group;;;;;;;;;;;;andere Personen des Baumhagschen Anwesens;;;;
entity_0286;;Herr Jesus;m;;;;nonfact;;;;;;;;;;;;Herr Jesus;Herr Jesus;;;
entity_0287;;Leute;u;;;;generic;;;;;;;;;;;;Leute;;;;
entity_0288;;Kutscher Borrmann;m;;;;;;;;;;;;;;;;;;Kutscher Borrmann;Kutscher von Franz Linden;
entity_0289;;Gärtnerkinder;u;;x;x;group;;;;;;;;;;;;;;Gärtnerkinder;Kinder der Gärtnerfrau;
entity_0290;;Leibarzt;m;;;;;;;;;;;;;;;;;;Leibarzt;;
entity_0291;;Onkel Heinrichs Kutscher;m;;;;;;;;;;;;;;;;;;Onkel Heinrichs Kutscher;;
entity_0292;;Prinzessin;f;;;;;;;;;;;;;;;;;;Prinzessin;;
entity_0293;;Verwandten;u;;;;nonfact;;;;;;;;;;;;;;Verwandten;;
entity_0294;;helfende Männer;m;;entity_0265, x;Gärtner, x;group;;;;;;;;;;;;;;;helfende Männer;
entity_0295;;Französin;f;;;;generic;;;;;;;;;;;;;;;Französin;
entity_0296;;Tausende von suizidalen Menschen;u;;entity_0015, x;Vater von Trudchen Baumhagen, x;generic, group;;;;;;;;;;;;;;;Tausende von suizidalen Menschen;
entity_0297;;Leute, die Fritze nach Hause brachten;u;;;; ;;;;;;;;;;;;;;;Leute, die Fritze nach Hause brachten;
entity_0298;;Gräfin V.;f;;;;;;;;;;;;;;;;;;;Gräfin V.;
entity_0299;;Ehemann;m;;;;generic;;;;;;;;;;;;;;;Ehemann;
entity_0300;;David;m;;;;;;;;;;;;;;;;;;;David;
entity_0301;;Kaffeegesellschaftsteilnehmerin;f;;;;;;;;;;;;;;;;;;;Kaffeegesellschaftsteilnehmerin;
entity_0302;;Gesinde Niendorfs;mf;;entity_0223, entity_0288, entity_0307;Knechte, Kutscher von Franz Linden, Hausmädchen Niendorf;group;;;;;;;;;;;;;;;Gesinde Niendorfs;
entity_0303;;Ehemann der Tante Stadträtin;m;;;;;;;;;;;;;;;;;;;Ehemann der Tante Stadträtin;
entity_0304;;Kutscher;m;;;;;;;;;;;;;;;;;;;Kutscher;
entity_0305;;Hausmädchen Lindens;f;;;;;;;;;;;;;;;;;;;Hausmädchen Lindens;
entity_0306;;Herzog von P.;m;;;;;;;;;;;;;;;;;;;Herzog von P.;
entity_0307;;Hausmädchen Niendorf;f;;entity_0305, x;Hausmädchen Lindens, x;group;;;;;;;;;;;Hausmädchen Niendorf;;;;Hausmädchen Niendorf;
entity_0308;;Stadtrat Hanke;m;;;;;;;;;;;;;;;;;;;Stadtrat Hanke;
entity_0309;;Stammtischler;m;;x;x;group;;;;;;;;;;;;;;;Stammtischler;
entity_0310;;deutsche Frauen;f;;entity_0006, entity_0004, x;Jenny, Trudchen Baumhagen, x;generic, group;;;;;;;;;;;;;;;deutsche Frauen;
entity_0311;;schwatzende Leute;u;;;;;;;;;;;;;;;;;;;schwatzende Leute;
entity_0312;;weibliches Personal Niendorfs;f;;entity_0307, x;Hausmädchen Niendorf, x;group;;;;;;;;;;;;;;;weibliches Personal Niendorfs;
entity_0313;;Person;u;;;;;;;;;;;;;;;;;;;Person;
entity_0314;;Menschen beim Brand;u;;entity_0001, entity_0021, entity_0011, entity_0265, x;Franz Linden, Heidchen Strom, Tante Rosa, Gärtner, x;group;;;;;;;;;;;;;;;;Menschen beim Brand
entity_0315;;Urahne;m;;;;;;;;;;;;;;;;;;;;Urahne
entity_0316;;alte Dame;f;;;;generic;;;;;;;;;;;;;;;;alte Dame
