ID_general;ID_general_old;fullname;gender;possible_identity_with;members;members_names;specialcase;borderline;comment_entity;ID_chapter_1;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14;ID_chapter_15;ID_chapter_16;ID_chapter_17;ID_chapter_18;ID_chapter_19;ID_chapter_20;ID_chapter_21;ID_chapter_22;ID_chapter_23;ID_chapter_24;ID_chapter_25;ID_chapter_26;ID_chapter_27;ID_chapter_28;ID_chapter_29;ID_chapter_30;ID_chapter_31;ID_chapter_32;ID_chapter_33;ID_chapter_34;ID_chapter_35;ID_chapter_36;ID_chapter_37
entity_0132;figur_0251;Verheiratete;u;;x;x;group;;;;;;;;;;;;;Verheiratete;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0133;figur_0252;eine Frau der der Graf früher geneigt war;f;;;;;;;;;;;;;;;;;eine Frau der der Graf früher geneigt war;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0134;figur_0256;Charlottes Kammermädchen;f;;;;;;;;;;;;;;;;;;Kammermädchen;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0135;figur_0257;Garden;m;;x;x;group;;;;;;;;;;;;;;Garden;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0136;figur_0259;höchste Herrschaften;u;;x;x;group;;;;;;;;;;;;;;höchste Herrschaften;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0137;figur_0263;Ehrenwächterin;f;;;;;;;;;;;;;;;;;;Ehrenwächterin;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0138;figur_0264;Hofdamen;f;;entity_0001, x;Charlotte, x;group;;;;;;;;;;;;;;Hofdamen;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0139;figur_0265;Wachender Gardist;m;;;;;;;;;;;;;;;;;;Wachender Gardist;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0140;figur_0267;Besuch;u;;x;x;group;;;;;;;;;;;;;;;Besuch;;;;;;;;;;;;;;;;;;;;;;;;
entity_0141;figur_0270;ein aufmerksamer Beobachter;u;;;;nonfact;;;;;;;;;;;;;;;ein aufmerksamer Beobachter;;;;;;;;;;;;;;;;;;;;;;;;
entity_0142;figur_0271;Arbeiter;m;;x;x;group;;Overlap mit Arbeitern aus chapter_2 nicht klar;;;;;;;;;;;;;;Arbeiter;;;;;;;;;;;;;;;;;;;;;;;
entity_0143;figur_0272;Großtante;f;;;;;;;;;;;;;;;;;;;;Großtante;;;Großtante;;;;;;Großtante;Großtante;;;;;;;;;;;;;
entity_0144;figur_0273;Eduards Kammerdiener;m;;;;;;;;;;;;;;;;;;;;Kammerdiener;Kammerdiener;Kammerdiener;Kammerdiener;Kammerdiener;;;;;;;;;;;;;;;;;Kammerdiener;Kammerdiener;Kammerdiener
entity_0145;figur_0274;Unterschreiber des Dokuments;u;;;;;;;;;;;;;;;;;;;;Unterschreiber des Dokuments;;;;;;;;;;;;;;;;;;;;;;;
entity_0146;figur_0277;andere außer Ottilie;u;;x;x;group;;;;;;;;;;;;;;;;andere außer Ottilie;;;;;;;;;;;;;;;;;;;;;;;
entity_0147;figur_0280;Architekt;m;;;;;;;;;;;;;;;;;;;;;Architekt;Architekt;;Architekt;;Architekt;Architekt;Architekt;Architekt;Architekt;Architekt;Architekt;;;;;;;;;;;Architekt
entity_0148;figur_0281;Ottilies Geburtstagsgesellschaft;u;;x;x;group;;;;;;;;;;;;;;;;;Geburtstagsgesellschaft;;;;;;;;;;;;;;;;;;;;;;
entity_0149;figur_0282;Freunde;u;;x;x;group;;;;;;;;;;;;;;;;;Freunde;;;;;;;;;;;;;;;;;;;;;;
entity_0150;figur_0283;Handelsleute im Kontakt mit Eduards Kammerdiener;u;;x;x;group;;;;;;;;;;;;;;;;;Handelsleute;;;;;;;;;;;;;;;;;;;;;;
entity_0151;figur_0285;tüchtige Meister;u;;x;x;group;;;;;;;;;;;;;;;;;Meister;;;;;;;;;;;;;;;;;;;;;;
entity_0152;figur_0286;Modehändler im Kontakt mit Eduards Kammerdiener;u;;x;x;group;;;;;;;;;;;;;;;;;Modehändler;;;;;;;;;;;;;;;;;;;;;;
entity_0153;figur_0287;Volk;u;;x;x;group;;;;;;;;;;;;;;;;;Volk;Volk;;;;;;;;;;;;;;;;;;;;;
entity_0154;figur_0288;Gäste auf Ottilies Geburtstagsfeier;u;;x;x;group;;;;;;;;;;;;;;;;;;Gäste;;;;;;;;;;;;;;;;;;;;;
entity_0155;figur_0289;Knabe (der bei Ottilies Geburtstagsfeier fast ertrinkt);m;;;;;;;;;;;;;;;;;;;;;;Knabe;;;;;;;;;;;;;;;;;;;;;
entity_0156;figur_0290;Zimmerleute;m;;x;x;group;;;;;;;;;;;;;;;;;;Zimmerleute;;;;;;;;;;;;;;;;;;;;;
entity_0157;figur_0291;Anwesende bei Geburtstagsfeier;u;;x;x;group;;;;;;;;;;;;;;;;;;Anwesende bei Geburtstagsfeier;;;;;;;;;;;;;;;;;;;;;
entity_0158;figur_0292;Chirurgus;m;;;;;;;;;;;;;;;;;;;;;;Chirurgus;;;;;;;;;;;;;;;;;Chirurg;;;;
entity_0159;figur_0293;Menge auf dem Damm bei Ottilies Geburtstagsfeier;u;;x;x;group;;;;;;;;;;;;;;;;;;Menge auf dem Damm;;;;;;;;;;;;;;;;;;;;;
entity_0160;figur_0294;Zimmergeselle;m;;;;;;;;;;;;;;;;;;;;;;Zimmergeselle;;;;;;;;;;;;;;;;;;;;;
entity_0161;figur_0295;flinkes Bauermädchen;f;;;;;;;;;;;;;;;;;;;;;;Bauermädchen;;;;;;;;;;;;;;;;;;;;;
entity_0162;figur_0296;Versinkende;u;;x;x;group;;;;;;;;;;;;;;;;;;Versinkende;;;;;;;;;;;;;;;;;;;;;
entity_0163;figur_0297;verständige Leute;u;;x;x;group;;;;;;;;;;;;;;;;;;verständige Leute;;;;;;;;;;;;;;;;;;;;;
entity_0164;figur_0298;jüngere Gesellschaft;u;;x;x;group;;;;;;;;;;;;;;;;;;jüngere Gesellschaft;;;;;;;;;;;;;;;;;;;;;
entity_0165;figur_0299;Menge bei Ottilies Geburtstagsfeier;u;;x;x;group;;;;;;;;;;;;;;;;;;Menge;;;;;;;;;;;;;;;;;;;;;
entity_0166;figur_0300;manche Geburtstagsgäste;u;;x;x;group;;;;;;;;;;;;;;;;;;manche Geburtstagsgäste;;;;;;;;;;;;;;;;;;;;;
entity_0167;figur_0301;Gerettete;u;;x;x;group;;;;;;;;;;;;;;;;;;Gerettete;;;;;;;;;;;;;;;;;;;;;
entity_0168;figur_0304;Frauen im Dorf;f;;x;x;group;;;;;;;;;;;;;;;;;;Frauen im Dorf;;;;;;;;;;;;;;;;;;;;;
entity_0169;figur_0305;Helfende;u;;x;x;group;;;;;;;;;;;;;;;;;;Helfende;;;;;;;;;;;;;;;;;;;;;
entity_0170;figur_0306;Feuerwerker;m;;;;;;;;;;;;;;;;;;;;;;Feuerwerker;;;;;;;;;;;;;;;;;;;;;
entity_0171;figur_0307;Entschlossene;u;;x;x;group;;;;;;;;;;;;;;;;;;Entschlossene;;;;;;;;;;;;;;;;;;;;;
entity_0172;figur_0309;Dekorateure;u;;x;x;group;;;;;;;;;;;;;;;;;;Dekorateure;;;;;;;;;;;;;;;;;;;;;
entity_0173;figur_0310;Tanzende;u;;x;x;group;;;;;;;;;;;;;;;;;;Tanzende;;;;;;;;;;;;;;;;;;;;;
entity_0174;figur_0311;Mädchen im Dorf;f;;x;x;group;;;;;;;;;;;;;;;;;;Mädchen im Dorf;;;;;;;;;;;;;;;;;;;;;
entity_0175;figur_0312;Stürzende;u;;x;x;group;;;;;;;;;;;;;;;;;;Stürzende;;;;;;;;;;;;;;;;;;;;;
entity_0176;figur_0313;einzelne Gerettete;u;;x;x;group;;;;;;;;;;;;;;;;;;einzelne Gerettete;;;;;;;;;;;;;;;;;;;;;
entity_0177;figur_0314;Zuschauer bei Feuerwerk;u;;x;x;group;;;;;;;;;;;;;;;;;;Zuschauer bei Feuerwerk;;;;;;;;;;;;;;;;;;;;;
entity_0178;figur_0315;ältere Gesellschaft;u;;x;x;group;;;;;;;;;;;;;;;;;;ältere Gesellschaft;;;;;;;;;;;;;;;;;;;;;
entity_0179;figur_0316;für Ottilie fremde Menschen;u;;entity_0181, x;Dame die Ottilie aufnehmen würde, x;group, nonfact;;;;;;;;;;;;;;;;;;;für Ottilie fremde Menschen;;;;;;;;;;;;;;;;;;;;
entity_0180;figur_0317;Eduards Kinder;u;;x;x;group;;;;;;;;;;;;;;;;;;;Eduards Kinder;;;;;;;;;;;;;;;;;;;;
entity_0181;figur_0318;Dame die Ottilie aufnehmen würde;f;;;;;;;;;;;;;;;;;;;;;;;Dame;;;;;;;;;;;;;;;;;;;;
entity_0182;figur_0319;Tochter der angesehenen Familie;f;;;;;;;;;;;;;;;;;;;;;;;Tochter der angesehenen Familie;;;;;;;;;;;;;;;;;;;;
entity_0183;figur_0322;Nanny;f;;;;;;;;;;;;;;;;;;;;;;;;Nanny;;;;;;;;;;;;Nanny;;;;Nanny;;Nanny;Nanny
entity_0184;figur_0323;Bauernknaben;m;;entity_0191, x;verständigster Knabe, x;group;;;;;;;;;;;;;;;;;;;;Knaben;;;;;;;;;;;;;;;;;;;
entity_0185;figur_0324;Mädchen des Dorfes;f;;entity_0183, x;Nanny, x;group;;;;;;;;;;;;;;;;;;;;Mädchen;;;;;;;;;;;;;;;;;;;
entity_0186;figur_0325;Männer;m;;;;;;;;;;;;;;;;;;;;;;;;Männer;;;;;;;;;;;;;;;;;;;
entity_0187;figur_0327;Eltern der Mädchen;u;;x;x;group;;;;;;;;;;;;;;;;;;;;Eltern der Mädchen;;;;;;;;;;;;;;;;;;;
entity_0188;figur_0328;Geschwister der Mädchen;u;;x;x;group;;;;;;;;;;;;;;;;;;;;Geschwister der mädchen;;;;;;;;;;;;;;;;;;;
entity_0189;figur_0329;Kartäuser;m;;x;x;group;;;;;;;;;;;;;;;;;;;;Kartäuser;;;;;;;;;;;;;;;;;;;
entity_0190;figur_0331;Obstgärtner;m;;x;x;group;;;;;;;;;;;;;;;;;;;;Obstgärtner;;;;;;;;;;;;;;;;;;;
entity_0191;figur_0333;verständigster Knabe;m;;;;;;;;;;;;;;;;;;;;;;;;verständigster Knabe;;;;;;;;;;;;;;;;;;;
entity_0192;figur_0334;Arzt;m;;;;;;;;;;;;;;;;;;;;;;;;;Arzt;;;;;;;;;;;;;;;;;;
entity_0193;figur_0337;Feldherr;m;;;;;;;;;;;;;;;;;;;;;;;;;Feldherr;;;;;;;;;;;;;;;;Feldherr;;
entity_0194;figur_0340;Bote;u;;;;;;Übereinstimmung mit vorherigen Boten wieder nicht klar;;;;;;;;;;;;;;;;;;;Bote;;;Bote;;;;;;;;;;;;;;;
entity_0195;figur_0342;Leser;u;;;;;;;;;;;;;;;;;;;;;;;;;Leser;Leser;;;;;;;;;;;;Leser;;;;Leser;Leser
entity_0196;figur_0343;Reiche;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;Reiche;;;;;;;;;;;;;;;;;;
entity_0197;figur_0347;Arme;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;Arme;;;;;;;;;;;;;;;;;;
entity_0198;figur_0349;Eduards Dienerschaft;u;;x;x;group;;Übereinstimmung zu vorherigen Bediensteten unklar;;;;;;;;;;;;;;;;;;;Eduards Dienerschaft;;;;;;;;;;;;;;;;;;
entity_0199;figur_0352;Otto;m;;;;;;;;;;;;;;;;;;;;;;;;;Ungeborenes Kind;;;;;;;;Charlottes Sohn;;Kind;Kind;Otto;Otto;Kind;Kind;;Kind;Otto
entity_0200;figur_0354;liebenswürdige Personen in der Nachbarschaft;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;liebenswürdige Personen in der Nachbarschaft;;;;;;;;;;;;;;;;;;
entity_0201;figur_0355;potentieller zukünftiger Partner von Ottilie;m;;;;nonfact;;;;;;;;;;;;;;;;;;;;;potentieller zukünftiger Partner von Ottilie;;;;;;;;;;;;;;;;;;
entity_0202;figur_0356;junger Rechtsgelehrter;m;;;;;;;;;;;;;;;;;;;;;;;;;;junger Rechtsgelehrter;;;;;;;;;;;;;;;;;
entity_0203;figur_0357;Geistlicher;m;;;;;;;;;;;;;;;;;;;;;;;;;;Geistlicher;;;;;;;Geistlicher;;;;;;;;;;
entity_0204;figur_0364;benachbarte Familie;u;;entity_0208, x;benachbarter Edelmann, x;group;;;;;;;;;;;;;;;;;;;;;;benachbarte Familie;;;;;;;;;;;;;;;;;
entity_0205;figur_0376;missbilligende Gemeindeglieder;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;missbilligende Gemeindeglieder;;;;;;;;;;;;;;;;;
entity_0206;figur_0378;Prinzipal des jungen Rechtsgelehrten;m;;;;;;;;;;;;;;;;;;;;;;;;;;Prinzipal des jungen Rechtsgelehrten;;;;;;;;;;;;;;;;;
entity_0207;figur_0401;Verstorbene der benachbarten Familie;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;Verstorbene der benachbarten Familie;;;;;;;;;;;;;;;;;
entity_0208;figur_0410;benachbarter Edelmann;m;;;;;;;;;;;;;;;;;;;;;;;;;;benachbarter Edelmann;;;;;;;;;;;;;;;;;
entity_0209;figur_0412;Vorfahren der missbilligenden Gemeindeglieder;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;Vorfahren der missbilligenden Gemeindeglieder;;;;;;;;;;;;;;;;;
entity_0210;figur_0419;Figuren auf Malerei;u;;entity_0213, entity_0214, entity_0215, entity_0216, entity_0217, entity_0218;Greis auf Malerei, Knabe auf Malerei, Jüngling auf Malerei, Mann auf Malerei, Heiliger auf Malerei, Engel auf Malerei;group;Gemälde;Sonderfall: Personen auf Gemälde;;;;;;;;;;;;;;;;;;;;;Figuren auf Malerei;;;;;;;;;;;;;;;;
entity_0211;figur_0427;Einige Arbeiter von Hausbau;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;Arbeiter;;;;;;;;;;;;;;;;
entity_0212;figur_0428;Baumeister;m;;;;;;;;;;;;;;;;;;;;;;;;;;;Baumeister;;;;;;;;;;;;;;;;
entity_0213;figur_0431;Engel auf Malerei;u;;;;;Gemälde;Sonderfall: Personen auf Gemälde;;;;;;;;;;;;;;;;;;;;;Engel auf Malerei;;;;;;;;;;;;;;;;
entity_0214;figur_0435;Greis auf Malerei;m;;;;;Gemälde;Sonderfall: Personen auf Gemälde;;;;;;;;;;;;;;;;;;;;;Greis auf Malerei;;;;;;;;;;;;;;;;
entity_0215;figur_0438;Knabe auf Malerei;m;;;;;Gemälde;Sonderfall: Personen auf Gemälde;;;;;;;;;;;;;;;;;;;;;Knabe auf Malerei;;;;;;;;;;;;;;;;
entity_0216;figur_0439;Mann auf Malerei;m;;;;;Gemälde;Sonderfall: Personen auf Gemälde;;;;;;;;;;;;;;;;;;;;;Mann auf Malerei;;;;;;;;;;;;;;;;
entity_0217;figur_0441;Heiliger auf Malerei;m;;;;;Gemälde;Sonderfall: Personen auf Gemälde;;;;;;;;;;;;;;;;;;;;;Heiliger auf Malerei;;;;;;;;;;;;;;;;
entity_0218;figur_0442;Jüngling auf Malerei;m;;;;;Gemälde;Sonderfall: Personen auf Gemälde;;;;;;;;;;;;;;;;;;;;;Jüngling auf Malerei;;;;;;;;;;;;;;;;
entity_0219;figur_0443;Nachkommen von Menschen für die der Architekt baut;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;Nachkommen;;;;;;;;;;;;;;;;
entity_0220;figur_0447;Vorfahren von Menschen für die der Architekt gebaut hat;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;Vorfahren;;;;;;;;;;;;;;;;
entity_0221;figur_0448;die meisten der Figuren auf Malerei;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;die meisten der Figuren auf Malerei;;;;;;;;;;;;;;;;
entity_0222;figur_0459;Kriegsteilnehmer;m;;entity_0001, x;Eduard, x;group;;;;;;;;;;;;;;;;;;;;;;;;Kriegsteilnehmer;;;;;;;;;;;;;;;
entity_0223;figur_0470;gemalte Menschen in Kirche;u;;x;x;group;Gemälde;Sonderfall: Personen auf Gemälde;;;;;;;;;;;;;;;;;;;;;;gemalte Menschen in Kirche;;;;;;;;;;;;;;;
entity_0224;figur_0472;Lucianes Bräutigam;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bräutigam;Bräutigam;;;;;;;;;;;;;
entity_0225;figur_0473;Kavalier aus Lucianes Gefolge;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kavalier;;;;;;;;;;;;;;
entity_0226;figur_0476;Gäste;u;;entity_0224, entity_0143, x;Bräutigam, Großtante, x;group;;;;;;;;;;;;;;;;;;;;;;;;;Gäste;;;;;;;;;;;;;;
entity_0227;figur_0478;Jugend in Lucianes Gesellschaft;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Jugend in Lucianes Gesellschaft;;;;;;;;;;;;;;
entity_0228;figur_0479;Lucianes Gesellschaft;u;;entity_0224, entity_0143, x;Bräutigam, Großtante, x;group;;;;;;;;;;;;;;;;;;;;;;;;;Lucianes Gesellschaft;Lucianes Gesellschaft;;;;;;;;;;;;;
entity_0229;figur_0480;bejahrter Mann;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bejahrter Mann;;;;;;;;;;;;;;
entity_0230;figur_0481;Lucianes Gäste;u;;entity_0224, entity_0143, x;Bräutigam, Großtante, x;group;;;;;;;;;;;;;;;;;;;;;;;;;Lucianes Gäste;;;;;;;;;;;;;;
entity_0231;figur_0483;höhergestellte Männer in Lucianes Gesellschaft;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;höhergestellte Männer;;;;;;;;;;;;;;
entity_0232;figur_0484;noch bewegliche Personen;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;noch bewegliche Personen;;;;;;;;;;;;;;
entity_0233;figur_0485;Kammermädchen;f;;x;x;group;;Evtl. Charlottes Kammermädchen als member;;;;;;;;;;;;;;;;;;;;;;;Kammermädchen;;;;;;;;;;;;;;
entity_0234;figur_0487;einige ältere Personen;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;einige ältere Personen;;;;;;;;;;;;;;
entity_0235;figur_0489;Nachbarschaft;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Nachbarschaft;;;;;;;;;;;;;;
entity_0236;figur_0491;Einer von Lucianes Verehrern;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Verehrer;;;;;;;;;;;;;;
entity_0237;figur_0497;Gruppe Lucianes Verehrer und Adjutanten;m;;entity_0236, x;Verehrer, x;group;;;;;;;;;;;;;;;;;;;;;;;;;Gruppe Lucianes Verehrer und Adjutanten;;;;;;;;;;;;;;
entity_0238;figur_0498;Gesellschaft außer Luciane;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Gesellschaft außer Luciane;;;;;;;;;;;;;;
entity_0239;figur_0504;Fischer;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Fischer;;;;;;;;;;;;;;
entity_0240;figur_0505;Bekannte von Luciane;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Bekannte von Luciane;;;;;;;;;;;;;;
entity_0241;figur_0506;Bediente;m;;x;x;group;;Übereinstimmung mit obigen Bedientengruppen unklar;;;;;;;;;;;;;;;;;;;;;;;Bediente;;;;;;;;;;;;;;
entity_0242;figur_0508;Dings;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dings;;;;;;;;;;;;;;
entity_0243;figur_0511;Lucianes Leute;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Lucianes Leute;;;;;;;;;;;;;;
entity_0244;figur_0512;Künstler (Maler der Affenbilder);m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Künstler;;;;;;;;;;;;;;
entity_0245;figur_0514;Krämer;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Krämer;;;;;;;;;;;;;;
entity_0246;figur_0516;Galanteriehändler M;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Galanteriehändler M;;;;;;;;;;;;;;
entity_0247;figur_0518;Gesellschaft im Haus von Lucianes Tante;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Gesellschaft im Haus von Lucianes Tante;;;;;;;;;;;;;;
entity_0248;figur_0519;Geschäftsträger des Bräutigams;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geschäftsträger;;;;;;;;;;;;;;
entity_0249;figur_0520;Gärtner;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Gärtner;;;;;;;;;;;;;Gärtner;
entity_0250;figur_0523;Jäger;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Jäger;;;;;;;;;;;;;;
entity_0251;figur_0524;Freundinnen;f;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Freundinnen;;;;;;;;;;;;;;
entity_0252;figur_0526;Pfarrer S;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pfarrer S;;;;;;;;;;;;;;
entity_0253;figur_0528;Ottilies Untergebene;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Ottilies Untergebene;;;;;;;;;;;;;;
entity_0254;figur_0529;Onkel;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onkel;;;;;;;;;;;;;;
entity_0255;figur_0531;Pagen;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;Pagen;;;;;;;;;;;;;;
entity_0256;figur_0535;junges Frauenzimmer;f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;junges Frauenzimmer;;;;;;;;;;;;;;
entity_0257;figur_0538;Ältester in der Gesellschaft;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ältester in der Gesellschaft;;;;;;;;;;;;;;
entity_0258;figur_0539;älteste Personen;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;älteste Personen;;;;;;;;;;;;;;
entity_0259;figur_0540;junger Mann;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;junger Mann;;;;;;;;;;;;;
entity_0260;figur_0541;Dichter aus Lucianes Gesellschaft;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dichter;;;;;;;;;;;;;
entity_0261;figur_0545;Ehrenmann;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ehrenmann;;;;;;;;;;;;;
entity_0262;figur_0547;Darstellende;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Darstellende;;;;;;;;;;;;;
entity_0263;figur_0548;Lucianes Gäste;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Lucianes Gäste;;;;;;;;;;;;;
entity_0264;figur_0549;Schwarm;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarm;;;;;;;;;;;;;
entity_0265;figur_0550;Tochter im Bild;f;;;;;lebendes Gemälde;Sonderfall: Dargestellte Personen auf Lebendbild;;;;;;;;;;;;;;;;;;;;;;;;Tochter im Bild;;;;;;;;;;;;;
entity_0266;figur_0551;junges Weibchen;f;;;;;lebendes Gemälde;Sonderfall: Dargestellte Personen auf Lebendbild;;;;;;;;;;;;;;;;;;;;;;;;junges Weibchen;;;;;;;;;;;;;
entity_0267;figur_0554;edler Vater im Bild;m;;;;;lebendes Gemälde;Sonderfall: Dargestellte Personen auf Lebendbild;;;;;;;;;;;;;;;;;;;;;;;;edler Vater;;;;;;;;;;;;;
entity_0268;figur_0555;Hofmann;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hofmann;;;;;;;;;;;;;
entity_0269;figur_0557;Mutter im Bild;f;;;;;lebendes Gemälde;Sonderfall: Dargestellte Personen auf Lebendbild;;;;;;;;;;;;;;;;;;;;;;;;Mutter im Bild;;;;;;;;;;;;;
entity_0270;figur_0560;große Gesellschaft;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;große Gesellschaft;;;;;;;;;;;;;
entity_0271;figur_0563;blinder General;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blinder General;;;;;;;;;;;;;
entity_0272;figur_0564;drei Brüder;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;drei Brüder;;;;;;;;;;;;;
entity_0273;figur_0565;alte Gatten;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;alte Gatten;;;;;;;;;;;;;
entity_0274;figur_0566;Frauen;f;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Frauen;;;;;;;;;;;;;
entity_0275;figur_0567;Menschen die Luciane gewinnt;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Menschen die Luciane gewinnt;;;;;;;;;;;;;
entity_0276;figur_0571;wohlgestaltete Personen;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;wohlgestaltete Personen;;;;;;;;;;;;;
entity_0277;figur_0572;Krieger;m;;;;;lebendes Gemälde;Sonderfall: Dargestellte Personen auf Lebendbild;;;;;;;;;;;;;;;;;;;;;;;;Krieger;;;;;;;;;;;;;
entity_0278;figur_0575;Frauenzimmer das Luciane zu ärmlich gekleidet scheint;f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frauenzimmer;;;;;;;;;;;;;
entity_0279;figur_0577;Darstellerin der Mutter im Bild;f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Darstellerin der Mutter im Bild;;;;;;;;;;;;;
entity_0280;figur_0578;König im Bild;m;;;;;lebendes Gemälde;Sonderfall: Dargestellte Personen auf Lebendbild;;;;;;;;;;;;;;;;;;;;;;;;König im Bild;;;;;;;;;;;;;
entity_0281;figur_0579;Darsteller des edlen Vaters;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Darsteller des edlen Vaters;;;;;;;;;;;;;
entity_0282;figur_0584;Einer aus Lucianes Gefolge;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Einer aus Lucianes Gefolge;;;;;;;;;;;;;
entity_0283;figur_0587;Offiziere von entfernten Garnisonen;m;;entity_0300, entity_0314;gebildete Offiziere, rohere Offiziere;group;;;;;;;;;;;;;;;;;;;;;;;;;;Offiziere;;;;;;;;;;;;;
entity_0284;figur_0588;Zuschauer;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Zuschauer;;;;;;;;;;;;;
entity_0285;figur_0589;Männer;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Männer;;;;;;;;;;;;;
entity_0286;figur_0590;Mädchen;f;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Mädchen;;;;;;;;;;;;;
entity_0287;figur_0591;junge Eheleute;fm;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;junge Eheleute;;;;;;;;;;;;;
entity_0288;figur_0593;Männer bei Lucianes Ausflügen;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Männer bei Lucianes Ausflügen;;;;;;;;;;;;;
entity_0289;figur_0594;Maler;m;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Maler;;;;;;;;;;;;;
entity_0290;figur_0597;Hofleute Lucianes;u;;entity_0268, x;Hofmann, x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Hofleute Lucianes;;;;;;;;;;;;;
entity_0291;figur_0600;Frauensperson;f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frauensperson;;;;;;;;;;;;;
entity_0292;figur_0601;Bedienten;u;;x;x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Bedienten;;;;;;;;;;;;;
