ID_general;fullname;gender;possible_identity;members;members_names;specialcase;borderline;comment_entity;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14;ID_chapter_15;ID_chapter_16;ID_chapter_17;ID_chapter_18;ID_chapter_19;ID_chapter_20;ID_chapter_21;ID_chapter_22;ID_chapter_23;ID_chapter_24;ID_chapter_25;ID_chapter_26
entity_0155;Mütter;f;;;;generic, group;;;;;;;;Mütter;;;;;;;;;;;;;;;;;;;
entity_0156;Ehrliche Gimmeldinger;u;;;;group;;;;;;;;Ehrliche Gimmeldinger;;;;;;;;;;;;;;;;;;;
entity_0157;Hammichels Frau;f;;;;;;;;;;;;Hammichels Frau;;;;;;;;;;;;;;;;;;;
entity_0158;Gimmeldinger;mf;;entity_0154,x;Ehrliche Gimmeldinger,x;group;;;;;;;;Gimmeldinger;;;;;;;;;;;;;;;;;;;
entity_0159;Bauerndirn;f;;;;generic;;;;;;;;Bauerndirn;;;;;;;;;;;;;;;;;;;
entity_0160;Anwesende bei Gersbacher;mf;;entity_0002,entity_0013,entity_0145,entity_0108,entity_0022,entity_0007,entity_0154,x;Ältere Männer,weibliche Jugend,Familie Armbruster,Trudi,Burschen,Jakobine,Familie Gersbacher,x;group;;;;;;;;Anwesende bei Gersbacher;;;;;;;;;;;;;;;;;;;
entity_0161;Neidische Mädchen;f;;;;group;;;;;;;;Neidische Mädchen;;;;;;;;;;;;;;;;;;;
entity_0162;Partnerin;f;;;;;;;;;;;;Partnerin;;;;;;;;;;;;;;;;;;;
entity_0163;Musikanten;u;;;;group;;;;;;;;Musikanten;;;;;;;;;;;;;;;;;;;
entity_0164;Trudis Familie;mf;;entity_0028,entity_0032;Trudis Mutter,Bruder,Stiefvater;group;;;;;;;;Trudis Familie;;;;;;;;;;;;;;;;;;;
entity_0165;nicht Eingeweihte;mf;;entity_0001,entity_0003,entity_0005,entity_0008,entity_0010,entity_0011,entity_0012;Madlen,Christoph,Steffen,Elsbeth,Peter,Agnete,Gersbacher;group;;;;;;;;nicht Eingeweihte;;;;;;;;;;;;;;;;;;;
entity_0166;Wildfang;u;;;;generic;;;;;;;;;Wildfang;;;;;;Wildfang;Wildfang;Wildfänge;Wildfang;;;;;;;;;
entity_0167;Nachjagender Herr;m;;;;generic;;;;;;;;;Nachjagender Herr;;;;;;;;;;nachjagender Herr;;;;;;;;
entity_0168;Landesherr;m;;;;generic;;;;;;;;;Landesherr;;;;;;;;;;;;;;;;;;
entity_0169;Vogt;m;;;;generic;;;;;;;;;Vogt;;;;;Vogt;;;;;;;;;;;;;
entity_0170;Verwandte von Merten Fachendag;u;;;;;;;;;;;;;Verwandte von Merten Fachendag;;;;;;;;;;;;;;;;;;
entity_0171;Außenfaut;m;;;;generic;;;;;;;;;Außenfaut;;;;;;;;Faute;;;;;;;;;;
entity_0172;Hühner-und Außenfaut Lippert Wallmann;m;;;;;;;;;;;;;Hühnerfaut;;;;;Faut;;Faut;Lippert Wallmann;Faut;;Hühnerfaut;;;;;;;
entity_0173;Betroffene vom Wildfangrecht;u;;;;group;;;;;;;;;Betroffene vom Wildfangrecht;;;;;;;;;;;;;;;;;;
entity_0174;Amtsvorgänger von Gottfried Bofinger;m;;;;;;;;;;;;;Amtsvorgänger von Gottfried Bofinger;;;;;;;;;;;;;;;;;;
entity_0175;Fragender;u;;;;;;;;;;;;;Fragender;;;;;;;;;;;;;;;;;;
entity_0176;Kaiser;m;;;;generic;;;;;;;;;Kaiser;;;;;;;;Kaiser;;;;;;;;;;
entity_0177;Landesfürst;m;;;;generic;;;;;;;;;Landesfürst;;;;;;;;;;;;;;;;;;
entity_0178;König Wenzel;m;;;;;;;;;;;;;König Wenzel;;;;;;;;;;;;;;;;;;
entity_0179;Maximilian der Erste;m;;;;;;;;;;;;;Maximilian der Erste;;;;;;;;;;;;;;;;;;
entity_0180;Mensch;u;;;;;;;;;;;;;Mensch;;;;;;;;;;;;;;;;;;
entity_0181;Reichsvikarius;m;;;;;;;;;;;;;Reichsvikarius;;;;;;;;;;;;;;;;;;
entity_0182;Wirtschafterin;f;;;;;;;;;;;;;Wirtschafterin;;;;;;;;;;;;;;;;;;
entity_0183;jemand;u;;;;generic;;;;;;;;;jemand;;;;;;;;;;;;;;;;;;
entity_0184;Hexe;f;;;;nonfact;;;;;;;;;;Hexe;;;;;;;;;;;;;;;;;
entity_0185;Wandergenosse;m;;;;;;;;;;;;;;Wandergenosse;;;;;;;;;;;;;;;;;
entity_0186;Trudis Verwandte;u;;entity_0084,x;Trudis Eltern,x;group;;;;;;;;;;;Trudis Verwandte;;;;;;;;;Trudis Verwandte;;;;;;;
entity_0187;Ammeries Verwandtschaft;u;;entity_0007,entity_0013;Familie Armbruster,Familie Gersbacher;group;;;;;;;;;;;;Ammeries Verwandtschaft;;;;;;;;;;;;;;;
entity_0188;Bader;m;;;;;;;;;;;;;;;;;Bader;;;;;;;;;Bader;;;;;
entity_0189;Frauen;f;;;;group,generic;;;;;;;;;;;;;Frauen;;;;Frauen;;;;;;;;;;
entity_0190;Mädchen;f;;;;group,generic;;;;;;;;;;;;;Mädchen;;;;;;;;;;;;;;
entity_0191;Kaspars Freunde;u;;;;group;;;;;;;;;;;;;Kaspars Freunde;;;;;;;;;;;;;;
entity_0192;Männer;m;;;;group;;;;;;;;;;;;;Männer;;;;;;;;;;;;;;
entity_0193;Nachbarn;u;;;;group;;;;;;;;;;;;;Nachbarn;;;;;;;;;;;;;;
entity_0194;Spielleute;u;;;;generic, group;;;;;;;;;;;;;;;Spielleute;;;;;;;;;;;;
entity_0195;Bettler;m;;;;generic;;;;;;;;;;;;;;;Bettler;;;;;;;;;;;;
entity_0197;Karl der Große;m;;;;;;;;;;;;;;;;;;;Karl der Große;;;;;;;;;;;;
entity_0198;Kaiser Rotbart;m;;;;;;;;;;;;;;;;;;;Kaiser Rotbart;;;;;;;;;;;;
entity_0199;Magd;f;;;;generic;;;;;;;;;;;;;;;Magd;;;;;;;;;;;;
entity_0200;Gäste;u;;;;group;;;;;;;;;;;;;;;;Gäste;;;;;;;;;;;
entity_0201;Madlens Familie;u;;entity_0002,entity_0032,x;Hilde Scheithauer,Gontrud Hegewald,x;group;;;;;;;;;;;;;;;;Madlens Familie;;;;;;;;;;;
entity_0202;Bischof von Speyer;m;;;;;;;;;;;;;;;;;;;;;Bischof von Speyer;;;;Bischof von Speyer;;;;;;
entity_0203;Knecht;m;;;;;;;;;;;;;;;;;;;;;Knecht;;;;;;;;;;
entity_0204;ehemalige Freunde Steineckers;mf;;entity_0013,x;Familie Gersbacher,x;group; ;;;;;;;;;;;;;;;;ehemalige Freunde Steineckers;;;;;;;;;;
entity_0205;Bewohner des Hauses;mf;;;;;;;;;;;;;;;;;;;;;Bewohner des Hauses;;;;;;;;;;
entity_0206;Bischöfe von Speyer;m;;entity_0202,x;Bischopf von Speyer,x;group; ;;;;;;;;;;;;;;;;Bischöfe von Speyer;;;;;;;;;;
entity_0207;Gäste;u;;;;;;;;;;;;;;;;;;;;;Gäste;;;;;;;;;;
entity_0208;Mutter von Ulrich von Remchingen;f;;;;;;;;;;;;;;;;;;;;;Mutter von Ulrich von Remchingen;;;;;;;;;;
entity_0209;Kinder von Franz und Trudi;u;;;;group, nonfact;;;;;;;;;;;;;;;;;;Kinder von Franz und Trudi;;;;;;;;;
entity_0210;Familienmitglieder;u;;;;;;;;;;;;;;;;;;;;;;Familienmitglieder;;;;;;;;;
entity_0211;Knechte;m;;;;generic, group;;;;;;;;;;;;;;;;;;Knechte;;;;;;;;;
entity_0212;Mägde;f;;;;generic, group;;;;;;;;;;;;;;;;;;Mägde;;;;;;;;;
entity_0213;Vögte des Pfalzgrafen;m;;;;group;;;;;;;;;;;;;;;;;;Vögte des Pfalzgrafen;;;;;;;;;
entity_0214;Echte Gersbacher;m;;entity_0009,entity_0010,entity_0012,x;Florian Gersbacher,Franz Gersbacher,Steffen Gersbacher,x;group;;;;;;;;;;;;;;;;;;;Echte Gersbacher;;;;;;;;
entity_0215;Hörige;u;;;;generic;;;;;;;;;;;;;;;;;;;Hörige;;;;;;;;
entity_0216;Spieler;m;;;;;;;;;;;;;;;;;;;;;;;Spieler;;;;;;;;
entity_0217;Bischof von Würzburg;m;;;;;;;;;;;;;;;;;;;;;;;;Bischof von Würzburg;Bischof von Würzburg;Bischof von Würzburg;;;;;
entity_0218;Nürnberger;u;;;;generic, group;;;;;;;;;;;;;;;;;;;;Nürnberger;;;;;;;
entity_0219;Torwart;m;;;;;;;;;;;;;;;;;;;;;;;;;Torwart;;;;;;
entity_0220;Wirt;m;;;;;;;;;;;;;;;;;;;;;;;;;Wirt;;;;;;
entity_0221;Würzburger Herren;m;;entity_0027,entity_0056,entity_0217;Ebendorffer,Abt von Bronnbach,Bischof von Würzburg,x;generic, group;;;;;;;;;;;;;;;;;;;;;Würzburger Herren;;;;;;
entity_0222;Fährmann;m;;;;;;;;;;;;;;;;;;;;;;;;;Fährmann;;;;;;
entity_0223;Schließer;m;;;;;;;;;;;;;;;;;;;;;;;;;;Schließer;;;;;
entity_0224;Menschenmenge;u;;entity_0044,entity_0225,x;Menschenmenge auf Trudis Seite,Winzer,x;group;;;;;;;;;;;;;;;;;;;;;;;Menschenmenge;;;;
entity_0225;Menschenmenge auf Trudis Seite;u;;;;;;;;;;;;;;;;;;;;;;;;;;;Menschenmenge auf Trudis Seite;;;;
entity_0226;Menge;u;;entity_0020,entity_0021,x;Gegner Hammichels,Parteigänger Hammichels;group;;;;;;;;;;;;;;;;;;;;;;;Menge;;;;
entity_0227;Büttel;u;;;;;;;;;;;;;;;;;;;;;;;;;;;Büttel;;;;
entity_0228;Panscher;m;;entity_0015,entity_0231,x;Hammichel,Henning Buschard,x;generic, group;;;;;;;;;;;;;;;;;;;;;;;Panscher;Panscher;;;
entity_0229;Schöffen;m;;;;group;;;;;;;;;;;;;;;;;;;;;;;Schöffen;Schöffen;;;
entity_0230;Turmwächter;m;;;;;;;;;;;;;;;;;;;;;;;;;;;Turmwächter;;;;
entity_0231;Henning Buschard;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;Buschard;;;
entity_0232;Gemeinderat;m;;;;group;;;;;;;;;;;;;;;;;;;;;;;;Väter der Stadt;;Mitglieder des Gemeinderats;
entity_0233;Stammgäste;m;;entity_0252,entity_0228,x;Winzer,Panscher,x;group;;;;;;;;;;;;;;;;;;;;;;;;Stammgäste;;;
entity_0234;Abnehmer der Panscher;m;;;;group;;;;;;;;;;;;;;;;;;;;;;;;Abnehmer der Panscher;;;
entity_0235;Zecher;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zecher;;;
entity_0236;Hofkammerräte;m;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;Hofkammerräte;;
entity_0237;Fürsten;m;;;;generic, group;;;;;;;;;;;;;;;;;;;;;;;;;Fürsten;;
entity_0238;Anwesende im Zimmer;u;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;Anwesende im Zimmer;;
entity_0239;pfälzische Kinder;u;;;;generic, group;;;;;;;;;;;;;;;;;;;;;;;;;pfälzische Kinder;;
entity_0240;versammelte Bürger*innen;mf;;entity_0240,entity_0241,entity_0250,entity_0251,x;versammelte Männer,Frauen,Mädchen,Burschen,x;group;;;;;;;;;;;;;;;;;;;;;;;;;;versammelte Bürger*innen;
entity_0241;Mädchen;f;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;;Mädchen;
entity_0242;Berthold Breitinger;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Berthold Breitinger;
entity_0243;Grollende;u;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;;Grollende;
entity_0244;Beteiligte;mf;;entity_0007,entity_0013,entity_0232;Familie Armbruster,Familie Gersbacher,Mitglieder des Gemeinderats,x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Beteiligte;
entity_0245;Burgmannen;m;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;;Burgmannen;
entity_0246;Frau Breitinger;f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frau Breitinger;
entity_0247;Tischgenossen;u;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;;Tischgenossen;
entity_0248;andere Gäste;u;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;;andere Gäste;
entity_0249;Würdenträger;m;;entity_0001,entity_0052,entity_0030,x;Pater Bumpus,Schultheiß,Christoph,x;group;;;;;;;;;;;;;;;;;;;;;;;;;;Würdenträger;
entity_0250;Burschen;m;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;;Burschen;
entity_0251;Frauen;f;;;;group;;;;;;;;;;;;;;;;;;;;;;;;;;Frauen;
entity_0252;Winzer;m;;;;group;;;;;;;;;;;;;;;;;;;;;;;;Winzer;;;
entity_0253;Fremde;u;;entity_0002,x;Trudi,x;generic,group;;;;;;;;;;;;;;;;;;;Fremde;;;;;;;;
entity_0254;Henker;m;;;;generic, nonfact;;;;;;;;;;;;;;;;;Henker;;;;;;;;;;
entity_0255;Trudis Kind;u;;;;nonfact;;;;;;;;;;;Trudis Kind;;;;;;;;;;;;;;;;
entity_0256;Mädchen;f;;;;generic,group;;;;;;;;Mädchen;;;;;;;;;;;;;;;;;;;
